Version,Filename,LOC_added,MAX_LOC_added,AVG_LOC_addded,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,572,106,28.6,-262,53,-13.1,144,24,7.2,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,222,95,24.666668,143,65,15.888889,70,24,7.7777777,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,30,19,5.0,-43,2,-7.166667,74,24,12.333334,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,59,37,11.8,24,14,4.8,66,24,13.200001,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,23,23,23.0,3,3,3.0,10,10,10.0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,76,76,38.0,53,76,26.5,27,17,13.5,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,61,30,20.333334,60,30,20.0,8,5,2.6666667,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,197,48,19.699999,91,43,9.1,61,24,6.1000004,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,36,23,9.0,30,23,7.5000005,32,24,8.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,182,110,30.333332,172,110,28.666666,29,11,4.8333335,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,589,550,196.33334,576,550,192.0,35,24,11.666667,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,91,73,22.75,72,62,18.000002,43,24,10.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,161,157,53.666668,158,157,52.666668,20,10,6.666667,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,617,394,68.555565,582,394,64.666664,66,17,7.333333,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,116,61,14.5,93,60,11.625,34,17,4.25,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,202,195,101.0,196,195,98.0,23,17,11.5,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,153,61,17.0,114,59,12.666667,89,24,9.888888,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,360,239,32.727276,2,59,0.18181801,72,24,6.5454545,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,10,10,5.0,8,9,4.0,20,14,10.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,400,227,100.0,379,211,94.75,43,24,10.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,210,127,70.0,210,127,70.0,9,7,3.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java,88,88,88.0,88,88,88.0,5,5,5.0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,534,425,106.799995,451,425,90.200005,16,6,3.2,No
1,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,220,211,55.000008,216,211,54.0,10,5,2.5,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,545,378,77.85714,509,378,72.714294,48,24,6.8571424,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,74,36,14.8,-87,30,-17.4,34,10,6.8,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,118,113,59.0,88,113,44.0,13,8,6.5,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,55,53,27.5,52,53,26.0,13,8,6.5,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,151,105,25.166668,34,68,5.666668,20,6,3.3333335,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,12,7,6.0,-18,3,-9.0,9,5,4.5,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,5,5,5.0,5,5,5.0,24,24,24.0,No
